PITS_MatchName,Sample name,Site_sample,Site
PITS_SBS1.PITS.1.S1.L001,PITS_SBS1.PITS.1.S1.L001,FO_1,Fort_Ord
PITS_SBS1.PITS.17.S17.L001,PITS_SBS1.PITS.17.S17.L001,FO_1,Fort_Ord
PITS_SBS1.PITS.18.S18.L001,PITS_SBS1.PITS.18.S18.L001,FO_1,Fort_Ord
PITS_SBS1.PITS.19.S19.L001,PITS_SBS1.PITS.19.S19.L001,FO_1,Fort_Ord
PITS_SBS1.PITS.2.S2.L001,PITS_SBS1.PITS.2.S2.L001,FO_1,Fort_Ord
PITS_SBS1.PITS.20.S20.L001,PITS_SBS1.PITS.20.S20.L001,FO_1,Fort_Ord
PITS_SBS1.PITS.21.S21.L001,PITS_SBS1.PITS.21.S21.L001,FO_1,Fort_Ord
PITS_SBS1.PITS.22.S22.L001,PITS_SBS1.PITS.22.S22.L001,FO_1,Fort_Ord
PITS_SBS1.PITS.23.S23.L001,PITS_SBS1.PITS.23.S23.L001,FO_1,Fort_Ord
PITS_SBS1.PITS.24.S24.L001,PITS_SBS1.PITS.24.S24.L001,FO_1,Fort_Ord
PITS_SBS1.PITS.3.S3.L001,PITS_SBS1.PITS.3.S3.L001,FO_1,Fort_Ord
PITS_SBS1.PITS.4.S4.L001,PITS_SBS1.PITS.4.S4.L001,FO_1,Fort_Ord
PITS_SBS1.PITS.5.S5.L001,PITS_SBS1.PITS.5.S5.L001,FO_1,Fort_Ord
PITS_SBS1.PITS.6.S6.L001,PITS_SBS1.PITS.6.S6.L001,FO_1,Fort_Ord
PITS_SBS1.PITS.7.S7.L001,PITS_SBS1.PITS.7.S7.L001,FO_1,Fort_Ord
PITS_SBS1.PITS.8.S8.L001,PITS_SBS1.PITS.8.S8.L001,FO_1,Fort_Ord
PITS_SBS1.PITSFITS.10.S10.L001,PITS_SBS1.PITSFITS.10.S10.L001,FO_1,Fort_Ord
PITS_SBS1.PITSFITS.11.S11.L001,PITS_SBS1.PITSFITS.11.S11.L001,FO_1,Fort_Ord
PITS_SBS1.PITSFITS.12.S12.L001,PITS_SBS1.PITSFITS.12.S12.L001,FO_1,Fort_Ord
PITS_SBS1.PITSFITS.13.S13.L001,PITS_SBS1.PITSFITS.13.S13.L001,FO_1,Fort_Ord
PITS_SBS1.PITSFITS.14.S14.L001,PITS_SBS1.PITSFITS.14.S14.L001,FO_1,Fort_Ord
PITS_SBS1.PITSFITS.15.S15.L001,PITS_SBS1.PITSFITS.15.S15.L001,FO_1,Fort_Ord
PITS_SBS1.PITSFITS.16.S16.L001,PITS_SBS1.PITSFITS.16.S16.L001,FO_1,Fort_Ord
PITS_SBS1.PITSFITS.9.S9.L001,PITS_SBS1.PITSFITS.9.S9.L001,FO_1,Fort_Ord
PITS_SBS2.PITS.1.S25.L001,PITS_SBS2.PITS.1.S25.L001,FO_2,Fort_Ord
PITS_SBS2.PITS.17.S41.L001,PITS_SBS2.PITS.17.S41.L001,FO_2,Fort_Ord
PITS_SBS2.PITS.18.S42.L001,PITS_SBS2.PITS.18.S42.L001,FO_2,Fort_Ord
PITS_SBS2.PITS.19.S43.L001,PITS_SBS2.PITS.19.S43.L001,FO_2,Fort_Ord
PITS_SBS2.PITS.2.S26.L001,PITS_SBS2.PITS.2.S26.L001,FO_2,Fort_Ord
PITS_SBS2.PITS.20.S44.L001,PITS_SBS2.PITS.20.S44.L001,FO_2,Fort_Ord
PITS_SBS2.PITS.21.S45.L001,PITS_SBS2.PITS.21.S45.L001,FO_2,Fort_Ord
PITS_SBS2.PITS.22.S46.L001,PITS_SBS2.PITS.22.S46.L001,FO_2,Fort_Ord
