Sample Name,Total Read Pairs Processed,Total assigned reads,Number of reads assigned to taxa
SBS1-PITS-1,"129,933",79639,157
SBS1-PITS-17,"55,165",32507,140
SBS1-PITS-18,"45,636",27730,86
SBS1-PITS-19,"40,222",24406,97
SBS1-PITS-2,"69,934",43208,54
SBS1-PITS-20,"85,342",52106,107
SBS1-PITS-21,"58,451",37433,56
SBS1-PITS-22,"45,518",28263,120
SBS1-PITS-23,"66,253",40293,81
SBS1-PITS-24,"45,241",27819,85
SBS1-PITS-3,"76,612",48156,127
SBS1-PITS-4,"68,532",42715,99
SBS1-PITS-5,"58,943",37520,55
SBS1-PITS-6,"161,947",97598,335
SBS1-PITS-7,"42,970",26226,60
SBS1-PITS-8,"9,352",6148,4
SBS1-PITSFITS-10,"66,403",17411,53
SBS1-PITSFITS-11,"119,493",28342,69
SBS1-PITSFITS-12,"59,401",27156,46
SBS1-PITSFITS-13,"108,331",22969,19
SBS1-PITSFITS-14,"106,118",30496,8
SBS1-PITSFITS-15,"87,222",28601,54
SBS1-PITSFITS-16,"84,763",27012,290
SBS1-PITSFITS-9,"119,599",22288,823
SBS2-PITS-1,"33,518",20601,1131
SBS2-PITS-17,"29,676",18841,357
SBS2-PITS-18,"45,589",30089,531
SBS2-PITS-19,"62,185",40232,888
SBS2-PITS-2,"28,311",18422,312
SBS2-PITS-20,"56,430",37013,1602
SBS2-PITS-21,"62,127",40319,240
SBS2-PITS-22,"58,615",37820,1444
SBS2-PITS-23,"62,547",40460,1231
SBS2-PITS-24,"105,562",65059,3874
SBS2-PITS-3,"50,505",32676,290
SBS2-PITS-4,"47,114",30076,188
SBS2-PITS-5,"50,713",32468,624
SBS2-PITS-6,"35,028",21570,383
SBS2-PITS-7,"24,371",15775,466
SBS2-PITS-8,"55,022",29121,21072
SBS2-PITSFITS-10,"113,608",34252,577
SBS2-PITSFITS-11,"185,900",38188,1381
SBS2-PITSFITS-12,"145,178",42911,413
SBS2-PITSFITS-13,"111,549",47549,1227
SBS2-PITSFITS-14,"156,919",53528,594
SBS2-PITSFITS-15,"156,521",62153,1710
SBS2-PITSFITS-16,"106,219",25910,957
SBS2-PITSFITS-9,"122,831",32207,428
SBS3-PITS-1,"81,170",52816,494
SBS3-PITS-17,"51,682",27670,438
SBS3-PITS-18,"57,082",30654,15998
SBS3-PITS-19,"68,969",36533,640
SBS3-PITS-2,"69,502",37801,602
SBS3-PITS-20,"27,741",14782,144
SBS3-PITS-21,"75,007",37564,553
SBS3-PITS-22,"92,497",49284,506
SBS3-PITS-23,"26,066",13133,171
SBS3-PITS-24,"59,740",29411,369
SBS3-PITS-3,"45,853",23821,171
SBS3-PITS-4,"65,717",35344,463
SBS3-PITS-5,"84,967",44043,304
SBS3-PITS-6,"73,324",39127,376
SBS3-PITS-7,"56,253",28524,225
SBS3-PITS-8,"72,525",39556,791
SBS3-PITSFITS-10,"175,715",34722,309
SBS3-PITSFITS-11,"149,384",28437,301
SBS3-PITSFITS-12,"112,632",26141,327
SBS3-PITSFITS-13,"174,820",33306,235
SBS3-PITSFITS-14,"143,124",8224,27
SBS3-PITSFITS-15,"170,523",35437,228
SBS3-PITSFITS-16,"185,544",24459,136
SBS3-PITSFITS-9,"140,591",34255,1444
SBS4-PITS-1,"50,531",32403,22
SBS4-PITS-17,"86,360",55672,0
SBS4-PITS-18,"113,024",74558,68
SBS4-PITS-19,"80,409",52178,7
SBS4-PITS-2,"69,203",43842,27
SBS4-PITS-20,"80,289",51813,44
SBS4-PITS-21,"66,544",43545,9
SBS4-PITS-22,"133,082",85792,10
SBS4-PITS-23,"100,671",65231,73
SBS4-PITS-24,"40,255",26665,0
SBS4-PITS-3,"94,385",60806,0
SBS4-PITS-4,"51,793",33045,54
SBS4-PITS-5,"29,176",18841,2
SBS4-PITS-6,"67,851",43348,43
SBS4-PITS-7,"79,893",53238,159
SBS4-PITS-8,"65,185",43550,12
SBS4-PITSFITS-10,"120,586",22952,26
SBS4-PITSFITS-11,"164,320",53825,1
SBS4-PITSFITS-12,"108,400",14761,7
SBS4-PITSFITS-13,"116,969",25795,0
SBS4-PITSFITS-14,"51,259",8661,0
SBS4-PITSFITS-15,"93,552",12869,0
SBS4-PITSFITS-16,"133,866",12561,0
SBS4-PITSFITS-9,"111,509",14067,0
SBS5-PITS-1,"66,181",41788,51
SBS5-PITS-10,"39,026",24860,136
SBS5-PITS-11,"69,745",45479,21
SBS5-PITS-12,"41,767",27920,5
SBS5-PITS-13,"57,342",36744,26
SBS5-PITS-14,"48,206",30690,2
SBS5-PITS-15,"34,108",22095,70
SBS5-PITS-16,"40,643",25073,56
SBS5-PITS-17,"59,420",36359,844
SBS5-PITS-18,"75,524",47375,367
SBS5-PITS-19,"103,431",61977,196
SBS5-PITS-2,"61,946",40619,51
SBS5-PITS-20,"48,448",30782,8
SBS5-PITS-21,"45,652",28100,1
SBS5-PITS-22,"42,864",26795,0
SBS5-PITS-23,"48,354",29396,1
SBS5-PITS-24,"48,620",29372,7
SBS5-PITS-3,"70,160",45667,1
SBS5-PITS-4,"66,377",42667,1
SBS5-PITS-5,"49,845",31808,3
SBS5-PITS-6,"57,653",35611,250
SBS5-PITS-7,"56,118",34807,656
SBS5-PITS-8,"38,584",23229,46
SBS5-PITS-9,"134,619",86786,847
SBS6-PITS-1,"76,644",48892,106
SBS6-PITS-10,"94,851",57463,199
SBS6-PITS-11,"282,579",166279,85154
SBS6-PITS-12,"16,943",11281,0
SBS6-PITS-13,,,
SBS6-PITS-14,"60,457",36264,118
SBS6-PITS-15,"61,062",37905,602
SBS6-PITS-16,"59,227",35774,7904
SBS6-PITS-17,"52,804",31763,103
SBS6-PITS-18,"98,578",62476,147
SBS6-PITS-19,"96,603",57886,290
SBS6-PITS-2,"71,478",45828,84
SBS6-PITS-20,"22,592",14610,0
SBS6-PITS-21,"34,396",21566,16
SBS6-PITS-22,"66,379",40347,73
SBS6-PITS-23,"77,417",45884,150
SBS6-PITS-24,"55,648",33919,79
SBS6-PITS-3,,,
SBS6-PITS-4,"34,151",21774,279
SBS6-PITS-5,"56,091",35319,77
SBS6-PITS-6,"80,815",53082,16
SBS6-PITS-7,"60,986",39514,54
SBS6-PITS-8,"75,530",48082,532
SBS6-PITS-9,"164,050",94635,20741
SBS7-PITS-1,"56,184",29608,29608
SBS7-PITS-3,"169,767",86273,86273
SBS7-PITS-4,"3,236",1658,1658
