Sample Name,Total Read Pairs Processed,Total assigned reads,Number of reads assigned to taxa
SBS1-FITS-1,"265,630",218818,177794
SBS1-FITS-17,"85,517",69392,56691
SBS1-FITS-18,"92,469",74850,60697
SBS1-FITS-19,"49,312",39796,31858
SBS1-FITS-2,"212,249",174707,142977
SBS1-FITS-20,"69,998",55819,44694
SBS1-FITS-21,"55,608",44802,35856
SBS1-FITS-22,"110,922",89832,72722
SBS1-FITS-23,"62,181",49870,40437
SBS1-FITS-24,"47,254",38293,31657
SBS1-FITS-3,"81,250",64242,51489
SBS1-FITS-4,"104,081",83818,67082
SBS1-FITS-5,"71,169",58184,46503
SBS1-FITS-6,"76,096",61409,50279
SBS1-FITS-7,"55,427",43432,35287
SBS1-FITS-8,"57,842",46640,37617
SBS1-PITSFITS-10,"66,403",30315,24828
SBS1-PITSFITS-11,"119,493",58134,46788
SBS1-PITSFITS-12,"59,401",14156,11549
SBS1-PITSFITS-13,"108,331",58165,46323
SBS1-PITSFITS-14,"106,118",47005,38065
SBS1-PITSFITS-15,"87,222",32283,26128
SBS1-PITSFITS-16,"84,763",29015,23393
SBS1-PITSFITS-9,"119,599",66115,53488
SBS2-FITS-1,"91,327",74483,49684
SBS2-FITS-17,"96,789",79941,53719
SBS2-FITS-18,"77,403",64467,43151
SBS2-FITS-19,"93,302",77453,52068
SBS2-FITS-2,"22,807",18586,12578
SBS2-FITS-20,"76,679",61762,41782
SBS2-FITS-21,"67,767",54961,36646
SBS2-FITS-22,"59,542",48567,32508
SBS2-FITS-23,"87,827",72288,48033
SBS2-FITS-24,"129,715",107300,72574
SBS2-FITS-3,"18,820",15259,10210
SBS2-FITS-4,"15,409",12360,8417
SBS2-FITS-5,"36,100",29214,19434
SBS2-FITS-6,"81,374",67338,44824
SBS2-FITS-7,"27,925",22792,14884
SBS2-FITS-8,"37,037",30569,20290
SBS2-PITSFITS-10,"113,608",49571,33449
SBS2-PITSFITS-11,"185,900",103483,70475
SBS2-PITSFITS-12,"145,178",62806,42289
SBS2-PITSFITS-13,"111,549",30102,20143
SBS2-PITSFITS-14,"156,919",58956,39717
SBS2-PITSFITS-15,"156,521",47332,31641
SBS2-PITSFITS-16,"106,219",53448,35809
SBS2-PITSFITS-9,"122,831",57189,38633
SBS3-FITS-1,"60,044",47733,35990
SBS3-FITS-17,"102,825",81871,61162
SBS3-FITS-18,"58,406",46034,34977
SBS3-FITS-19,"153,408",123499,93445
SBS3-FITS-2,"41,691",32668,24163
SBS3-FITS-20,"51,401",40120,29910
SBS3-FITS-21,"62,157",49579,37759
SBS3-FITS-22,"72,897",57578,43469
SBS3-FITS-23,"35,485",28300,21194
SBS3-FITS-24,"48,203",38503,28929
SBS3-FITS-3,"75,427",60414,45352
SBS3-FITS-4,"36,161",28491,21347
SBS3-FITS-5,"67,937",54335,41357
SBS3-FITS-6,"44,335",34523,25987
SBS3-FITS-7,"43,349",33087,25043
SBS3-FITS-8,"19,883",15294,11478
SBS3-PITSFITS-10,"175,715",85013,65250
SBS3-PITSFITS-11,"149,384",76040,57782
SBS3-PITSFITS-12,"112,632",51740,39601
SBS3-PITSFITS-13,"174,820",88023,67176
SBS3-PITSFITS-14,"143,124",100369,77555
SBS3-PITSFITS-15,"170,523",81589,63927
SBS3-PITSFITS-16,"185,544",110261,86322
SBS3-PITSFITS-9,"140,591",60861,46502
SBS4-FITS-1,"121,891",99078,69352
SBS4-FITS-17,"76,161",61688,45460
SBS4-FITS-18,"30,163",23705,17197
SBS4-FITS-19,"72,143",58314,42097
SBS4-FITS-2,"79,307",64111,46127
SBS4-FITS-20,"25,803",20020,14694
SBS4-FITS-21,"67,584",54502,39895
SBS4-FITS-22,"52,074",41044,29909
SBS4-FITS-23,"51,123",41326,30462
SBS4-FITS-24,"50,095",40094,29172
SBS4-FITS-3,"145,620",120291,87503
SBS4-FITS-4,"102,906",83787,60049
SBS4-FITS-5,"74,549",60498,43779
SBS4-FITS-6,"97,619",79847,57667
SBS4-FITS-7,"84,501",67491,48866
SBS4-FITS-8,"90,890",73716,52799
SBS4-PITSFITS-10,"120,586",69222,48224
SBS4-PITSFITS-11,"164,320",67383,48114
SBS4-PITSFITS-12,"108,400",69291,49283
SBS4-PITSFITS-13,"116,969",61297,43639
SBS4-PITSFITS-14,"51,259",29768,21217
SBS4-PITSFITS-15,"93,552",58919,42909
SBS4-PITSFITS-16,"133,866",93999,68691
SBS4-PITSFITS-9,"111,509",72204,51284
SBS5-FITS-1,"90,454",75399,63826
SBS5-FITS-10,"259,609",216338,185905
SBS5-FITS-11,"45,009",37198,32153
SBS5-FITS-12,"256,234",173193,154785
SBS5-FITS-13,"121,368",58056,49923
